,Global_Score_Lung,Selective_Score_Lung,Driver_Delta,Rank
EIF1AX (1964),-1.931642747107438,-2.072525758333333,0.1408830112258952,44.0
COG3 (83548),-0.9578632947107437,-1.0923329416666667,0.134469646955923,45.0
ITGAV (3685),-0.6158678762809917,-0.7495224075000002,0.1336545312190085,46.0
SRY (6736),0.44757574272727274,0.31449980916666664,0.1330759335606061,47.0
YAP1 (10413),-0.34655607132231403,-0.4775552875,0.13099921617768595,48.0
MYCN (4613),-0.145820434785124,-0.27658536250000004,0.13076492771487605,49.0
IRS2 (8660),-0.4032168161983471,-0.5329711633333333,0.12975434713498618,50.0
FOXA2 (3170),-0.05521298522644628,-0.18388084916666667,0.1286678639402204,51.0
WNK1 (65125),-0.8904345190909091,-1.0153719458333332,0.12493742674242414,52.0
PIK3C3 (5289),-0.5105802434710744,-0.6348728916666667,0.12429264819559227,53.0
CDH2 (1000),-0.17458024264462813,-0.2965438266666667,0.12196358402203855,54.0
CDKN1A (1026),0.3969387819008265,0.2775672433333333,0.11937153856749316,55.0
NKX2-1 (7080),-0.16529738405785122,-0.2836692875,0.11837190344214876,56.0
SKA1 (220134),-0.6235810523966941,-0.7417296000000001,0.11814854760330595,57.0
KIF4A (24137),-0.7045078897520661,-0.8225637925,0.11805590274793387,58.0
ARHGAP29 (9411),-0.2836411705785124,-0.40084874083333344,0.11720757025482104,59.0
MEF2C (4208),-0.0002843637487603286,-0.1161599385833333,0.11587557483457298,60.0
ZC3H13 (23091),-0.5121546702479339,-0.6251533941666666,0.11299872391873267,61.0
SOCS3 (9021),-0.22084623723140498,-0.3319465266666667,0.1111002894352617,62.0
NDC80 (10403),-1.5607013371900829,-1.671351716666667,0.11065037947658407,63.0
MYCL (4610),-0.08173660147933885,-0.1910107111666667,0.10927410968732786,64.0
INSM1 (3642),0.04642741819834711,-0.06255952875000001,0.10898694694834712,65.0
TNFRSF10B (8795),0.19029186954545455,0.08235316708333333,0.10793870246212121,66.0
NUP205 (23165),-1.1814535570247935,-1.2889617416666665,0.10750818464187306,67.0
OGT (8473),-1.5120363338842975,-1.6172722583333332,0.10523592444903573,68.0
MBNL1 (4154),-0.24954896760330578,-0.3542272491666667,0.10467828156336093,69.0
TSPAN31 (6302),-0.27438960148760333,-0.3774828066666666,0.10309320517906329,70.0
PAX8 (7849),-0.13373628631404957,-0.23560351166666663,0.10186722535261705,71.0
BORA (79866),-0.7282249269421488,-0.8299400158333333,0.10171508889118452,72.0
LDB1 (8861),-0.2920060285123967,-0.3933718816666667,0.10136585315426999,73.0
EP400 (57634),-1.0037681678512398,-1.1027641333333333,0.09899596548209355,74.0
SPDEF (25803),0.05652401468512396,-0.04228674075,0.09881075543512396,75.0
ATP1A1 (476),-1.0867825739669421,-1.184927391666667,0.09814481769972483,76.0
POU2AF1 (5450),-0.09073200955371902,-0.18539106491666665,0.09465905536294764,77.0
JUN (3725),-0.33240195586776855,-0.4269905733333333,0.09458861746556474,78.0
CMIP (80790),-0.41365969537190084,-0.508028225,0.09436852962809916,79.0
TBL1Y (90665),0.5746268532231404,0.4812588333333334,0.09336801988980703,80.0
PRELID3B (51012),-1.8638907842975208,-1.9546317916666667,0.09074100736914592,81.0
TFRC (7037),-0.9192288332231404,-1.0097716424999998,0.09054280927685943,82.0
UTY (7404),0.44657708851239675,0.3562992483333333,0.09027784017906343,83.0
P2RY8 (286530),0.509246888016529,0.41954873416666677,0.08969815384986218,84.0
GGTLC2 (91227),-1.1308898983471074,-1.2205033416666666,0.08961344331955923,85.0
TGS1 (96764),-0.7898635104132231,-0.8793725858333333,0.08950907542011022,86.0
SPC24 (147841),-2.33609712892562,-2.4254972333333336,0.08940010440771351,87.0
DIO2 (1734),0.017333373621487604,-0.07158748116666666,0.08892085478815426,88.0
TP53 (7157),0.32662023305785126,0.23810034000000002,0.08851989305785124,89.0
KIF11 (3832),-2.8358639454545456,-2.9241465583333333,0.08828261287878769,90.0
MED19 (219541),-0.5602600201652893,-0.6484672133333333,0.08820719316804404,91.0
VPS13D (55187),-0.79535829,-0.8832889291666666,0.08793063916666655,92.0
CBLN1 (869),-0.0939438800661157,-0.1813211091666667,0.08737722910055098,93.0
KIRREL1 (55243),0.17171006099173555,0.08451827166666666,0.0871917893250689,94.0
HAUS7 (55559),-1.255198217355372,-1.3418413249999999,0.0866431076446279,95.0
YARS2 (51067),-1.3135996148760332,-1.3996312166666665,0.0860316017906333,96.0
H2BC6 (8344),-1.2107773950413223,-1.2966136,0.08583620495867761,97.0
RB1 (5925),0.3043722038016529,0.21865130833333335,0.08572089546831957,98.0
RIC1 (57589),-0.6732174355371902,-0.7583729675,0.0851555319628099,99.0
ATR (545),-1.4127475016528925,-1.497889225,0.08514172334710746,100.0
GINS2 (51659),-2.3157043471074372,-2.4004264916666664,0.08472214455922922,101.0
NIFK (84365),-1.78155579338843,-1.8661433333333335,0.08458753994490342,102.0
RFT1 (91869),-0.7106799169421487,-0.7952141791666666,0.08453426222451788,103.0
SOX11 (6664),-0.018034849129752065,-0.10236459575,0.08432974662024793,104.0
ABCB7 (22),-1.3226201727272726,-1.4065564916666666,0.08393631893939402,105.0
SCD (6319),-0.8438549591735536,-0.9271386191666666,0.08328365999311305,106.0
AIM2 (9447),0.16632309796694217,0.08310482791666667,0.0832182700502755,107.0
INTS10 (55174),-0.44657336966942157,-0.5295528525000001,0.08297948283057849,108.0
MED10 (84246),-0.6620258766115702,-0.7446788999999999,0.08265302338842972,109.0
ZCCHC12 (170261),0.059492478628099185,-0.022522996916666666,0.08201547554476585,110.0
RPAIN (84268),-1.182609843801653,-1.2642224666666666,0.08161262286501358,111.0
ADCYAP1 (116),0.2041598871983471,0.12321551925,0.0809443679483471,112.0
H2BC11 (8970),-1.8439470057851242,-1.924758625,0.08081161921487579,113.0
H2AC16 (8332),-1.046412729586777,-1.127015675,0.0806029454132231,114.0
ICE1 (23379),-0.8639979986776859,-0.9443227125,0.0803247138223141,115.0
MMGT1 (93380),-0.36386833272727276,-0.4439765416666668,0.08010820893939402,116.0
PRSS2 (5645),0.3315593467768595,0.25160540416666666,0.07995394261019284,117.0
LYSMD1 (388695),-0.3495985737190082,-0.4293085075,0.07970993378099178,118.0
DNA2 (1763),-3.0722268537190076,-3.1513709166666666,0.07914406294765897,119.0
HBB (3043),0.19611422980165288,0.117060253,0.07905397680165288,120.0
CLSPN (63967),-0.9660479120661157,-1.0445334025000002,0.07848549043388442,121.0
ZRSR2 (8233),-0.7775787038016531,-0.8557887966666665,0.07821009286501346,122.0
PDGFRA (5156),-0.2859996614049587,-0.36412105583333343,0.07812139442837474,123.0
BUD13 (84811),-0.761431079338843,-0.839274255,0.07784317566115695,124.0
MCM3AP (8888),-1.4739122016528927,-1.5515924666666665,0.07768026501377379,125.0
BMP5 (653),0.17942623558677687,0.10189868883333335,0.07752754675344352,126.0
DCX (1641),0.1522042809338843,0.07490060025,0.0773036806838843,127.0
SREBF1 (6720),-0.3994725685950414,-0.47654235249999993,0.07706978390495856,128.0
THOC2 (57187),-2.1541817785123967,-2.2311995999999996,0.07701782148760294,129.0
MITF (4286),-0.07203835279338842,-0.149044537,0.07700618420661158,130.0
VSTM2A (222008),0.0390603231123967,-0.03766445853333333,0.07672478164573002,131.0
NEUROD4 (58158),0.19407821173553721,0.11916431833333334,0.07491389340220388,132.0
FAM9B (171483),0.2742630181818182,0.19946958833333336,0.07479342984848483,133.0
COPG1 (22820),-1.4099367363636361,-1.48470735,0.07477061363636395,134.0
HUS1 (3364),-0.5339194597520661,-0.6084945408333332,0.07457508108126709,135.0
