,Global_Score_Lung,Selective_Score_Lung,Driver_Delta,Rank
SH2D4A (63898),0.10923629538016527,0.04947537841666666,0.05976091696349861,299.0
AMELY (266),0.2692498533884297,0.20961477583333332,0.059635077555096394,300.0
ESF1 (51575),-0.7708237671900826,-0.8304406991666667,0.05961693197658413,301.0
ADAM11 (4185),-0.3465973300826446,-0.40619063583333337,0.059593305750688774,302.0
CST1 (1469),0.01676010908016529,-0.04282515533333333,0.05958526441349862,303.0
KIF18A (81930),-1.4380064,-1.4973841833333335,0.059377783333333545,304.0
DRD2 (1813),0.16011104411570248,0.10080188149999998,0.0593091626157025,305.0
FOXF1 (2294),-0.019460783515702476,-0.07869849941666666,0.05923771590096419,306.0
LRR1 (122769),-2.5712114776859503,-2.6304248500000003,0.059213372314049995,307.0
HCFC1 (3054),-1.6467316917355372,-1.705874925,0.0591432332644628,308.0
ZMAT5 (55954),-0.8492668873553719,-0.9083939724999999,0.059127085144627944,309.0
CENPC (1060),-1.028318743057851,-1.0873157666666664,0.05899702360881531,310.0
PISD (23761),-0.759299467520661,-0.8182664641666667,0.05896699664600569,311.0
PEG10 (23089),0.10279054295041322,0.043941348416666665,0.058849194533746554,312.0
SMC1A (8243),-1.3515200033057853,-1.4102772416666667,0.058757238360881425,313.0
ANKLE2 (23141),-2.4591103834710744,-2.5178619083333333,0.058751524862258986,314.0
NF2 (4771),0.3923264547933884,0.33366493833333327,0.05866151646005513,315.0
UBA2 (10054),-1.2624987694214875,-1.3210807000000002,0.058581930578512686,316.0
NCAPD3 (23310),-0.8497366721487604,-0.9083072675,0.05857059535123965,317.0
ELAVL4 (1996),0.02271856917570248,-0.03571198033333333,0.05843054950903581,318.0
SMC3 (9126),-1.3198928256198348,-1.3783079,0.058415074380165244,319.0
DCAF13 (25879),-4.478479844628099,-4.536848608333334,0.058368763705234805,320.0
H2AC12 (85235),-0.9434810211570248,-1.0016365808333332,0.058155559676308366,321.0
MSI2 (124540),-0.1621002363553719,-0.2202369233333333,0.0581366869779614,322.0
HEY2 (23493),0.32809315363636365,0.2699594975,0.058133656136363676,323.0
HNRNPL (3191),-1.3160499834710742,-1.3741574166666668,0.05810743319559264,324.0
WBP11 (51729),-1.1121526041322316,-1.17021435,0.058061745867768355,325.0
OR2T10 (127069),0.05503334186053719,-0.003024507933333334,0.058057849793870527,326.0
NAA10 (8260),-1.046922270247934,-1.1049602333333335,0.058037963085399547,327.0
TIMELESS (8914),-1.5432218140495868,-1.6012442416666668,0.058022427617079986,328.0
CDC42 (998),-1.0736894579338845,-1.1316976166666666,0.05800815873278209,329.0
TLN1 (7094),-0.40356997578512394,-0.46141455916666674,0.0578445833815428,330.0
LCE2C (353140),-1.7432042231404958,-1.801034058333333,0.05782983519283724,331.0
WDR82 (80335),-1.6957869743801652,-1.7536055416666665,0.057818567286501255,332.0
BOP1 (23246),-1.263407756198347,-1.3211712500000001,0.05776349380165313,333.0
ATP6V1B2 (526),-2.0510643140495866,-2.1087829499999997,0.057718635950413155,334.0
